Link,Image URL,Title,Price,Area,Timestamp
/ban-mat-bang-nha-xuong-thi-xa-la-gi/can-ban-can-nha-dat-mat-tien-duong-nhua-ton-duc-thang-thi-xa-lagi-binh-thuan-ID4046549,,"Cần bán căn nhà, đất mặt tiền đường nhựa tôn đức thắng, thị xã lagi, bình thuận",14.6 Tỷ,1000 m²,Khoảng 2 Giờ trước
/cho-thue-cua-hang-van-phong-thai-ha/80m2-cho-thue-tai-nha-vp-9-tang-so-18-thai-ha-ID4041815,https://nhadat24h.net/Upload/User/DangTin/2023/Images/170506/Thumbnai/0361d493-d2df-4ec0-b0f2-78fa2d7f9bef_bthumb.jpg,80m2 cho thuê tại nhà vp 9 tầng số 18 thái hà,20 Triệu,80 m²,Khoảng 2 Giờ trước
/cho-thue-cua-hang-van-phong-quan-ba-dinh/40m2-vp-tai-so-62-duong-doi-yen-phu-gia-8-trieu-thang-lh-0986646169-ID4034510,https://nhadat24h.net/Upload/User/DangTin/2023/Images/170506/Thumbnai/08e593e5-6dd7-4620-98fc-48dd6abd66ab_bthumb.jpg,40m2 vp tại số 62 đường đôi yên phụ giá 8 triệu tháng. lh 0986646169,8 Triệu,40 m²,Khoảng 2 Giờ trước
/ban-phong-tro-nha-tro-quan-ha-dong/hiem-ccmn-tran-phu-mo-lao-7-tang-thang-may-loi-nhuan-nhinh-1-ty-nam-ID4046477,https://nhadat24h.net/Upload/User/DangTin/2023/Images/505249/Thumbnai/f4a8a02a-f6a6-4fbe-909d-9efa488a6fb3_bthumb.jpg,"Hiếm, ccmn trần phú mỗ lao, 7 tầng thang máy, lợi nhuận nhỉnh 1 tỷ/năm",Thỏa thuận,112 m²,Khoảng 4 Giờ trước
/ban-biet-thu-huyen-ha-trung/ban-dat-lien-ke-ha-trung-thanh-hoa-trung-tam-van-hoa-the-thao-ID4032120,https://nhadat24h.net/Upload/User/DangTin/2023/Images/105654/Thumbnai/78c59772-c3f8-4440-abb4-56828f22a67d_bthumb.jpg,Bán đất liền kề hà trung thanh hóa trung tâm văn hóa thể thao,1.1 Tỷ,90 m²,"28/6/2023, lúc: 14 giờ 11 phút"
/ban-dat-tho-cu-kdt-my-phuoc-3/can-tien-ban-gap-dat-my-phuoc-3-binh-duong-gan-cho-ID3834675,https://nhadat24h.net/Upload/User/DangTin/2023/Images/89258/Thumbnai/db9fae21-0518-47b1-8653-7d1f0fa4e100_bthumb.jpg,Cần tiền bán gấp đất mỹ phước 3 bình dương gần chợ,3 Tỷ,300 m²,Khoảng 15 Giờ trước
/ban-dat-tho-cu-quan-ha-dong/phan-lo-van-phu-ha-dong-7-tang-thang-may-view-truong-hoc-ID4045815,https://nhadat24h.net/Upload/User/DangTin/2023/Images/360542/Thumbnai/209c3c1b-0795-4b75-91af-df02d52d83b9_bthumb.jpg,"Phân lô văn phú hà đông, 7 tầng, thang máy, view trường học",9.52 Tỷ,50 m²,Khoảng 10 Giờ trước
/ban-phong-tro-nha-tro-huyen-thanh-tri/hang-tuyen-ccmn-trieu-khuc-56m-8-tang-19pkk-nhinh-9-ty-ID4046330,https://nhadat24h.net/Upload/User/DangTin/2023/Images/505249/Thumbnai/de5dbe42-0a53-444d-8af7-eebf440a7402_bthumb.jpg,"Hàng tuyển, ccmn triều khúc, 56m, 8 tầng, 19pkk, nhỉnh 9 tỷ",9.12 Tỷ,56 m²,Khoảng 4 Giờ trước
/cho-thue-mat-bang-nha-xuong-quan-bac-tu-liem/chinh-chu-cho-thue-van-phong-toa-nha-2-tang-tai-so-9-thuy-phuong-bac-tl-ID4039149,https://nhadat24h.net/Upload/User/DangTin/2023/Images/515811/Thumbnai/3fd4e304-b773-4e71-8e5b-04a8c62e67b5_bthumb.jpg,Chính chủ cho thuê văn phòng tòa nhà 2 tầng tại số 9 thụy phương bắc tl,2.25 Triệu,30 m²,"19/6/2023, lúc: 12 giờ 1 phút"
/ban-dat-tho-cu-thi-xa-ben-cat/qua-my-dinh-cu-ban-gap-lo-dat-480m2-24x20m-chi-700tr-doi-dien-cho-tien-kd-ID4022417,https://nhadat24h.net/Upload/User/DangTin/2023/Images/156109/Thumbnai/768877f3-65a5-4427-82b5-04d7ac383233_bthumb.jpeg,Qua mỹ định cư bán gấp lô đất 480m2 24x20m chỉ 700tr đối diện chợ tiện kd,260 Triệu,480 m²,22 Phút trước.
